,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
0,Precious Achiuwa,TOR,F,22,27,24.4,50.8,17.7,11.0,51,0.569,189,0.423,32,0.281,0.423,0.444,8.0,7.5,16.6,1.5,8.6,0.56,0.56,1.11,7.3,99.6,102.9
1,Steven Adams,MEM,C,28,40,25.6,53.4,12.7,20.5,115,0.6,198,0.53,0,0.0,0.53,0.561,7.0,9.4,19.4,3.0,15.1,0.83,0.58,1.6,9.1,121.1,104.7
2,Bam Adebayo,MIA,C-F,24,18,32.9,68.5,25.8,15.3,112,0.759,242,0.521,1,0.0,0.519,0.577,18.7,10.2,17.2,3.2,15.9,1.11,0.33,2.94,10.3,111.0,97.1
3,Santi Aldama,MEM,F-C,21,21,11.3,23.5,17.7,8.0,19,0.579,50,0.56,34,0.118,0.405,0.428,3.8,2.8,13.2,0.6,7.4,0.1,0.29,0.38,6.6,99.1,103.8
4,LaMarcus Aldridge,BKN,C-F,36,29,22.9,47.6,22.2,7.1,52,0.846,258,0.593,35,0.343,0.584,0.611,13.3,5.6,13.0,0.8,5.8,0.38,1.1,0.83,6.8,119.3,104.2
5,Nickeil Alexander-Walker,NOP,G,23,36,27.4,57.0,25.0,10.0,60,0.717,249,0.422,244,0.311,0.444,0.463,13.4,3.6,7.1,2.6,15.2,0.92,0.31,1.61,7.3,95.1,109.8
6,Grayson Allen,MIL,G,26,36,28.4,59.2,16.6,5.8,41,0.854,103,0.476,252,0.389,0.552,0.572,11.9,3.4,6.2,1.3,6.7,0.78,0.39,0.64,5.3,115.0,108.1
7,Jarrett Allen,CLE,C,23,32,32.8,68.4,18.2,13.7,140,0.707,308,0.718,7,0.143,0.706,0.722,17.0,10.8,17.8,1.9,9.3,0.94,1.47,1.88,8.6,133.9,100.4
8,Jose Alvarado,NOP,G,23,12,6.3,13.2,16.8,6.7,11,0.636,12,0.25,11,0.182,0.261,0.341,1.6,0.6,5.0,0.9,19.8,0.5,0.0,0.17,6.0,90.4,103.1
9,Justin Anderson,CLE,F-G,28,3,15.5,32.4,11.0,17.0,4,0.75,2,1.0,6,0.333,0.625,0.666,4.3,2.0,7.0,2.0,17.3,0.33,0.0,0.67,6.7,125.9,100.8
10,Justin Anderson,IND,F-G,28,3,10.1,21.0,19.2,7.5,3,1.0,2,0.5,9,0.111,0.227,0.325,2.7,1.3,7.3,1.0,12.9,0.33,0.33,0.33,6.0,86.1,98.4
11,Kyle Anderson,MEM,F-G,28,33,22.4,46.6,16.9,11.4,53,0.66,173,0.462,68,0.353,0.481,0.505,8.1,5.3,12.5,2.5,15.4,1.03,0.55,1.03,8.5,107.2,103.3
12,Giannis Antetokounmpo,MIL,F,27,33,32.4,67.6,34.8,12.4,349,0.702,480,0.608,129,0.287,0.571,0.616,28.5,11.4,18.4,5.9,34.1,1.06,1.45,3.27,15.3,120.6,96.8
13,Thanasis Antetokounmpo,MIL,F,29,27,12.1,25.3,14.2,15.7,24,0.625,70,0.514,11,0.091,0.463,0.491,3.3,2.9,12.3,0.7,7.9,0.48,0.22,0.63,6.2,104.4,93.9
14,Carmelo Anthony,LAL,F,37,40,27.1,56.5,19.6,6.5,92,0.804,180,0.478,243,0.395,0.544,0.576,13.4,4.2,8.1,1.0,5.4,0.75,0.8,0.8,5.7,113.2,105.1
15,Cole Anthony,ORL,G,21,26,34.0,70.8,27.2,13.0,112,0.857,233,0.468,201,0.348,0.493,0.542,20.2,6.1,9.5,5.9,30.4,0.88,0.19,2.77,10.6,106.7,107.9
16,OG Anunoby,TOR,F,24,21,35.9,74.8,22.5,8.0,67,0.836,188,0.495,149,0.369,0.521,0.555,19.4,5.2,7.9,2.4,10.5,1.71,0.43,1.52,6.9,114.2,106.5
17,Trevor Ariza,LAL,F,36,6,16.9,35.1,6.3,6.7,2,0.5,1,1.0,12,0.5,0.769,0.756,3.5,2.8,8.8,0.8,6.3,0.17,0.17,0.17,4.7,145.5,111.1
18,D.J. Augustin,HOU,G,34,30,15.0,31.2,16.4,22.5,34,0.882,35,0.429,84,0.405,0.555,0.605,5.4,1.1,4.0,2.3,22.3,0.33,0.0,1.3,6.4,108.5,117.9
19,Deni Avdija,WAS,F,21,39,23.4,48.7,15.0,11.7,61,0.721,130,0.538,114,0.298,0.496,0.528,7.3,5.0,11.7,1.6,9.4,0.79,0.72,0.92,6.6,105.1,102.8
20,Joel Ayayi,WAS,G,21,7,2.9,6.0,13.2,0.0,0,0.0,5,0.2,1,0.0,0.167,0.167,0.3,0.4,8.1,0.6,25.4,0.0,0.0,0.0,5.7,0.0,0.0
21,Deandre Ayton,PHX,C,23,25,30.8,64.1,20.6,11.4,72,0.681,287,0.641,7,0.143,0.631,0.645,16.8,11.0,18.7,1.6,8.1,0.76,0.84,1.68,8.7,122.5,98.2
22,Udoka Azubuike,UTA,C-F,22,6,6.7,13.9,8.5,25.4,2,0.5,5,0.8,0,0.0,0.8,0.765,1.5,1.3,10.8,0.0,0.0,0.17,0.33,0.33,0.0,116.3,103.7
23,Marvin Bagley III,SAC,F,22,21,21.0,43.7,18.0,7.5,36,0.722,107,0.523,49,0.224,0.465,0.498,8.1,7.0,17.6,0.7,4.7,0.33,0.24,0.67,6.5,109.2,106.8
24,LaMelo Ball,CHA,G,20,34,31.7,66.1,27.9,14.5,99,0.869,320,0.456,244,0.381,0.506,0.541,19.3,7.4,12.3,7.8,36.9,1.71,0.44,3.03,13.1,110.7,105.3
25,Lonzo Ball,CHI,G,24,31,35.4,73.8,17.3,17.1,22,0.773,116,0.414,233,0.416,0.554,0.563,13.0,5.5,8.5,5.1,19.8,1.84,0.94,2.39,8.1,107.9,104.7
26,Mo Bamba,ORL,C,23,31,28.1,58.6,16.3,12.2,26,0.731,156,0.545,121,0.339,0.529,0.541,10.1,8.4,16.0,1.6,9.0,0.77,2.13,1.29,7.3,107.9,104.2
27,Desmond Bane,MEM,G,23,40,30.0,62.4,22.7,9.0,53,0.906,294,0.514,277,0.422,0.572,0.59,17.5,4.5,8.0,2.4,12.2,1.03,0.5,1.48,7.7,114.8,104.3
28,Dalano Banton,TOR,F,22,32,11.9,24.8,18.0,20.6,24,0.75,91,0.451,26,0.269,0.44,0.474,3.8,2.1,9.3,1.7,20.3,0.38,0.16,1.03,8.0,96.9,103.3
29,Cat Barber,ATL,G,20,3,4.3,8.9,23.0,14.8,4,0.0,4,0.0,0,0.0,0.0,0.0,0.0,1.0,12.7,1.0,27.5,0.0,0.0,0.33,0.0,36.8,110.3
30,Harrison Barnes,SAC,F,29,36,33.4,69.7,19.4,11.7,179,0.832,229,0.467,177,0.418,0.537,0.603,16.3,6.2,9.8,2.3,10.2,0.72,0.19,1.78,7.4,116.7,113.5
31,Scottie Barnes,TOR,F,20,31,35.6,74.2,18.7,12.4,98,0.714,309,0.524,71,0.324,0.517,0.547,14.9,8.1,12.3,3.5,14.9,1.06,0.94,1.94,8.4,114.6,105.8
32,RJ Barrett,NYK,F-G,21,33,31.6,65.8,24.5,10.4,128,0.688,280,0.443,180,0.339,0.468,0.503,15.7,5.5,9.4,2.3,12.4,0.52,0.3,1.82,7.4,99.9,107.0
33,Will Barton,DEN,G,31,33,32.9,68.5,22.0,11.8,50,0.8,237,0.481,213,0.362,0.51,0.529,15.1,5.0,8.4,4.2,19.6,0.91,0.45,1.91,8.3,104.0,109.0
34,Charles Bassey,PHI,C-F,21,17,8.2,17.0,15.6,14.6,11,0.727,33,0.727,3,0.0,0.667,0.686,3.3,3.1,21.1,0.4,6.8,0.18,0.82,0.41,7.8,132.4,90.2
35,Paris Bass,PHX,F,26,2,3.7,7.7,51.6,22.5,2,1.0,4,0.5,2,0.0,0.333,0.436,3.0,2.0,28.3,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
36,Keita Bates-Diop,SAS,F,25,30,15.9,33.1,14.2,14.4,36,0.667,96,0.583,25,0.32,0.562,0.585,5.3,4.0,12.9,0.6,5.2,0.5,0.37,0.77,5.9,110.8,106.7
